Id,Station,Address,Latitude,Longitude
145,Baildon,"Baildon, West Yorkshire, UK",53.852716,-1.768142
146,Baillieston,"Baillieston, Glasgow, Glasgow City, UK",55.8512984,-4.1159938
147,Baker Street,"Baker Street, Orsett, Thurrock RM16, UK",51.507805,0.351672
148,Balcombe,"Balcombe, West Sussex RH17, UK",51.058563,-0.12794
149,Baldock,"Baldock, Hertfordshire, UK",51.9895039,-0.189128
150,Balham,"08190 Balham, France",49.49134,4.160311
151,Balloch,"Balloch, West Dunbartonshire, UK",56.002716,-4.580081
152,Balmossie,"Balmossie, Monifieth, Angus DD5, UK",56.4745545,-2.8389592
153,Bamber Bridge,"Bamber Bridge, Lancashire PR5, UK",53.7323749,-2.6612285
154,Bamford,"Bamford, Derbyshire S33, UK",53.34863,-1.686771
155,Banavie,"Banavie, Highland PH33, UK",56.845288,-5.098736
156,Banbury,"Banbury, Oxfordshire, UK",52.0629009,-1.339775
157,Bangor (Gwynedd),"Bangor, Gwynedd, UK",53.22739,-4.129263
158,Bank,"Bank, London EC3V, UK",51.51323,-0.08849
159,Bank Hall,"Bank Hall, Liverpool, Merseyside L20, UK",53.4375082,-2.9875108
160,Banstead,"Banstead, Surrey, UK",51.3221909,-0.205046
161,Barassie,"Barassie, Troon, South Ayrshire KA10, UK",55.5610565,-4.6511179
162,Barbican,"Barbican, London EC2Y, UK",51.5190925,-0.0940787
163,Bardon Mill,"Bardon Mill, Northumberland NE47, UK",54.975089,-2.3428619
164,Bare Lane,"Bare Lane, Morecambe, Lancashire LA4, UK",54.0745503,-2.8353283
165,Bargeddie,"Bargeddie, North Lanarkshire, UK",55.8540587,-4.0784306
166,Bargoed,"Bargoed, Caerphilly, UK",51.684912,-3.229699
167,Barking,"Barking, Greater London, UK",51.536563,0.075766
168,Barkingside,"Barkingside, Ilford, Greater London IG6, UK",51.588711,0.081188
169,Barking (Underground),"Upney Underground Station, Upney Lane, Barking, Greater London IG11 9LS, UK",51.5384059,0.1015318
170,Barlaston,"Barlaston, Staffordshire, UK",52.945556,-2.158722
171,Barming,"Barming, Kent, UK",51.2649041,0.4584923
172,Barmouth,"Barmouth, Gwynedd, UK",52.722873,-4.0560919
173,Barnehurst,"Barnehurst, Bexleyheath, Greater London DA7, UK",51.460893,0.165643
174,Barnes,"Barnes, ND, USA",46.926176,-98.1222338
175,Barnes Bridge,"Barnes Bridge, London SW13, UK",51.4720071,-0.252607
176,Barnetby,"Barnetby le Wold, North Lincolnshire DN38, UK",53.571456,-0.403125
177,Barnham,"Barnham, West Sussex, UK",50.827758,-0.635749
178,Barnhill,"Barnhill, Cheshire West and Chester CH3, UK",53.08396,-2.762932
179,Barnsley,"Barnsley, South Yorkshire, UK",53.55263,-1.479726
180,Barnstaple,"Barnstaple, Devon, UK",51.0781599,-4.058338
181,Barnt Green,"Barnt Green, Worcestershire, UK",52.359707,-1.991617
182,Barons Court,"Barons Court, London W14, UK",51.49031,-0.2134
183,Barrhead,"Barrhead, AB, Canada",54.1230722,-114.4016742
184,Barrhill,"Barrhill, South Ayrshire KA26, UK",55.101337,-4.764535
185,Barrow Haven,"Barrow Haven, North Lincolnshire DN19, UK",53.693394,-0.392823
186,Barrow-In-Furness,"Barrow-in-Furness, Cumbria, UK",54.108967,-3.218894
187,Barrow-Upon-Soar,"Barrow upon Soar, Leicestershire LE12, UK",52.7524019,-1.148755
188,Barry,"Barra, United Kingdom",56.9808838,-7.4567959
189,Barry Docks,"Barry Docks, Barry, Vale of Glamorgan CF63, UK",51.4024389,-3.2607137
190,Barry Island,"Barra, United Kingdom",56.9808838,-7.4567959
191,Barton-On-Humber,"Barton-upon-Humber, North Lincolnshire, UK",53.686675,-0.443368
192,Basildon,"Basildon, Essex, UK",51.576084,0.488736
193,Basingstoke,"Basingstoke, Hampshire, UK",51.262551,-1.093609
194,Bat & Ball,"Bat & Ball, Sevenoaks, Kent TN14, UK",51.2897577,0.1942548
195,Bathgate,"Bathgate, West Lothian, UK",55.9024,-3.643118
196,Bath Spa,"Bath Spa University, Bath, Bath and North East Somerset BA2 9BN, UK",51.3758998,-2.4386609
197,Batley,"Batley, West Yorkshire, UK",53.717028,-1.635083
198,Battersby,"Battersby, North Yorkshire YO21, UK",54.462891,-1.078955
199,Battersea Park,"Battersea Park, London SW11 4NJ, United Kingdom",51.4791075,-0.1564981
200,Battle,"Battle, East Sussex, UK",50.917405,0.483679
201,Battlesbridge,"Battlesbridge, Essex SS11, UK",51.622615,0.571876
202,Bayford,"Bayford, Hertfordshire SG13, UK",51.757722,-0.104772
203,Beaconsfield,"Beaconsfield, Buckinghamshire, UK",51.602396,-0.6442409
204,Bearley,"Bearley, Warwickshire CV37, UK",52.244441,-1.739343
205,Bearsden,"Bearsden, East Dunbartonshire, UK",55.92169,-4.335525
206,Bearsted,"Bearsted, Kent, UK",51.2744349,0.578956
207,Beasdale,"Beasdale, Arisaig, Highland PH39, UK",56.8995321,-5.7637825
208,Beaulieu Road,"Beaulieu Road, New Forest National Park, Brockenhurst, Hampshire SO42, UK",50.8550379,-1.50474
209,Beauly,"Beauly, Highland IV4, UK",57.483411,-4.460351
210,Bebington,"Bebington, Merseyside CH63, UK",53.351175,-3.006884
211,Beccles,"Beccles, Suffolk NR34, UK",52.459333,1.566053
212,Beckenham Hill,"Beckenham Hill, London SE6, UK",51.4245804,-0.0159249
213,Beckenham Junction,"Beckenham Junction, Beckenham, Greater London BR3, UK",51.4111711,-0.0259962
214,Beckenham Junction (Tram),"Beckenham, Greater London, UK",51.40817,-0.025813
215,Beckenham Road,"Beckenham Road, Beckenham, Greater London BR3, UK",51.40953,-0.04339
216,Beckton,"Beckton, London E6, UK",51.51436,0.06148
217,Beckton Park,"Beckton Park, London E6, UK",51.50879,0.05496
218,Becontree,"Becontree, Dagenham, Greater London RM9, UK",51.54033,0.12704
219,Beddington Lane,"Beddington Lane, Croydon, Greater London CR0, UK",51.38924,-0.14214
220,Bedford Midland,"Midland Road, Bedford MK40, UK",52.1359658,-0.4723635
221,Bedford St.Johns,"Bedford St Johns, Bedford MK42, UK",52.1294885,-0.4674792
222,Bedhampton,"Bedhampton, Havant, Hampshire PO9, UK",50.854655,-1.004007
223,Bedworth,"Bedworth, Warwickshire, UK",52.481392,-1.468869
224,Bedwyn,"Great Bedwyn, Wiltshire SN8, UK",51.37982,-1.602843
225,Beeston,"Beeston, Nottinghamshire, UK",52.92392,-1.212394
226,Bekesbourne,"Bekesbourne, Kent CT4, UK",51.258071,1.142522
227,Belgrave Walk,"Belgrave Walk, Mitcham, Greater London CR4, UK",51.40096,-0.17849
228,Belle Vue,"Belle Vue, Bude, Cornwall EX23 8JL, UK",50.8304789,-4.5451651
229,Bellgrove,"Bellgrove, Glasgow, Glasgow City G31, UK",55.8566981,-4.2243599
230,Bellingham,"Bellingham, WA, USA",48.7595529,-122.4882249
231,Bellshill,"Bellshill, North Lanarkshire, UK",55.816761,-4.026536
232,Belmont,"Belmont, CA, USA",37.5202145,-122.2758008
233,Belper,"Belper, Derbyshire DE56, UK",53.0243899,-1.477616
234,Belsize Park,"Belsize Park, London NW3, UK",51.550187,-0.166274
235,Beltring,"Beltring, Kent TN12, UK",51.203232,0.396575
236,Belvedere,"Belvedere, Greater London, UK",51.485165,0.14827
237,Bempton,"Bempton, East Riding of Yorkshire YO15, UK",54.131186,-0.17859
238,Benfleet,"Benfleet SS7, UK",51.5661671,0.5792812
239,Ben Rhydding,"Ben Rhydding, Ilkley, West Yorkshire LS29, UK",53.919118,-1.790682
