Id,Year,Activity,Refrigerated,PercentLaden,HGVType,MinWeight,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
91,2013,HGV,FALSE,Average,Articulated,-1,TonneKm,0.08804,0.08708,0.00006,0.0009,0.01886
92,2013,HGV,FALSE,Average,Articulated,-1,km,0.99587,0.98504,0.00063,0.0102,0.21333
93,2013,HGV,FALSE,Average,Articulated,-1,miles,1.602697409,1.585268214,0.001013887,0.016415309,0.343321356
94,2013,HGV,FALSE,Average,All,-1,TonneKm,0.12335,0.12137,0.00008,0.0019,0.02642
95,2013,HGV,FALSE,Average,All,-1,km,0.90765,0.89788,0.00047,0.0093,0.19443
96,2013,HGV,FALSE,Average,All,-1,miles,1.460721082,1.444997791,0.000756392,0.014966899,0.312904754
97,2013,HGV,TRUE,0,Rigid,3.5,TonneKm,,,,,
98,2013,HGV,TRUE,0,Rigid,3.5,km,0.656140392,0.64986,0.000220392,0.00606,0.14082
99,2013,HGV,TRUE,0,Rigid,3.5,miles,1.055955603,1.045848292,0.000354686,0.009752625,
100,2013,HGV,TRUE,0,Rigid,7.5,TonneKm,,,,,
101,2013,HGV,TRUE,0,Rigid,7.5,km,0.784935251,0.777204,0.000271251,0.00746,0.168468
102,2013,HGV,TRUE,0,Rigid,7.5,miles,1.263230837,1.250788594,0.000436537,0.012005706,
103,2013,HGV,TRUE,0,Rigid,17,TonneKm,,,,,
104,2013,HGV,TRUE,0,Rigid,17,km,0.944891211,0.934548,0.000363211,0.00998,0.202848
105,2013,HGV,TRUE,0,Rigid,17,miles,1.520655001,1.504009217,0.000584531,0.016061253,
106,2013,HGV,TRUE,0,Rigid,-1,TonneKm,,,,,
107,2013,HGV,TRUE,0,Rigid,-1,km,,,,,
108,2013,HGV,TRUE,0,Rigid,-1,miles,,,,,
109,2013,HGV,TRUE,0,Articulated,3.5,TonneKm,,,,,
110,2013,HGV,TRUE,0,Articulated,3.5,km,0.875989762,0.866304,0.000563293,0.009122468,0.188064
111,2013,HGV,TRUE,0,Articulated,3.5,miles,1.409768867,1.394181145,0.000906532,0.01468119,
112,2013,HGV,TRUE,0,Articulated,33,TonneKm,,,,,
